YYMMDDHHMI,STN,WD,WS,GST,VS,RVR1,RVR2,WC,CA,CA1,CT1,CH1,CA2,CT2,CH2,CA3,CT3,CH3,CA4,CT4,CH4,TA,TD,HM,PA,PS,RN
202401010000,113,60,5,-9,5000,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.7,-1.6,9.4,1026.0,1026.9,-9.0
202401010100,113,30,4,-9,4000,-9,-9,10,2,2,6,4000,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.3,-1.0,9.1,1026.8,1027.6,-9.0
202401010200,113,50,4,-9,3500,-9,-9,10,1,1,6,4500,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.1,-1.1,9.2,1026.9,1027.8,-9.0
202401010300,113,50,4,-9,2500,-9,-9,10,1,1,6,4500,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.2,-1.1,9.1,1027.4,1028.3,-9.0
202401010400,113,50,6,-9,3000,-9,-9,10,7,7,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.1,-0.8,9.4,1027.5,1028.4,-9.0
202401010500,113,80,2,-9,3000,-9,-9,10,7,7,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.6,-0.3,9.4,1027.8,1028.6,-9.0
202401010600,113,50,1,-9,3000,-9,-9,10,2,2,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,-0.5,-1.1,9.5,1027.9,1028.8,-9.0
202401010700,113,80,3,-9,2500,-9,-9,10,4,4,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,-1.3,-1.8,9.6,1028.5,1029.3,-9.0
202401010800,113,110,5,-9,3000,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.1,0.6,9.6,1028.8,1029.6,-9.0
202401010900,113,70,2,-9,3500,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.4,0.3,9.2,1029.0,1029.9,-9.0
202401011000,113,100,3,-9,5000,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3.5,1.5,8.7,1029.4,1030.3,-9.0
202401011100,113,140,5,-9,5000,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.5,1.2,7.9,1029.2,1030.1,-9.0
202401011200,113,150,4,-9,6000,-9,-9,10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,5.6,1.7,7.6,1028.6,1029.5,-9.0
202401011300,113,150,4,-9,7000,-9,-9,10,7,7,6,4500,-9,-9,-9,-9,-9,-9,-9,-9,-9,5.1,1.0,7.5,1027.5,1028.4,-9.0
202401011400,113,150,4,-9,8000,-9,-9,10,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,5.2,1.2,7.6,1026.8,1027.7,-9.0
202401011500,113,170,5,-9,6000,-9,-9,10,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,5.2,0.8,7.4,1026.5,1027.4,-9.0
202401011600,113,220,2,-9,10000,-9,-9,-9,7,7,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,5.2,0.2,7.0,1026.1,1027.0,-9.0
202401011700,113,220,5,-9,9000,-9,-9,5,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.8,0.7,7.5,1026.0,1026.9,-9.0
202401011800,113,260,2,-9,8000,-9,-9,10,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.5,0.9,7.7,1025.8,1026.6,-9.0
202401011900,113,230,3,-9,7000,-9,-9,10,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.6,1.4,8.0,1025.7,1026.5,-9.0
202401012000,113,280,4,-9,6000,-9,-9,10,7,7,6,4000,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.1,1.4,8.3,1025.7,1026.6,-9.0
202401012100,113,270,4,-9,6000,-9,-9,10,7,2,7,1800,7,6,3500,-9,-9,-9,-9,-9,-9,4.1,1.3,8.2,1025.6,1026.5,-9.0
202401012200,113,320,5,-9,5000,-9,-9,10,7,2,7,1500,7,6,3000,-9,-9,-9,-9,-9,-9,3.6,1.5,8.6,1025.6,1026.4,-9.0
202401012300,113,260,1,-9,5000,-9,-9,10,7,1,7,1400,7,6,3000,-9,-9,-9,-9,-9,-9,3.3,1.1,8.6,1025.3,1026.1,-9.0
202401020000,113,320,3,-9,5000,-9,-9,10,7,1,7,1400,7,6,3000,-9,-9,-9,-9,-9,-9,3.3,0.4,8.1,1025.2,1026.0,-9.0
202401020100,113,300,6,-9,5000,-9,-9,10,7,1,7,1000,7,6,3000,-9,-9,-9,-9,-9,-9,3.6,0.2,7.9,1024.8,1025.6,0.0
202401020200,113,330,4,-9,8000,-9,-9,10,7,1,7,1000,7,6,3000,-9,-9,-9,-9,-9,-9,2.7,-0.2,8.2,1024.3,1025.2,-9.0
202401020300,113,360,4,-9,7000,-9,-9,10,7,1,7,1000,7,6,3500,-9,-9,-9,-9,-9,-9,2.4,-0.1,8.4,1024.3,1025.2,-9.0
202401020400,113,330,5,-9,7000,-9,-9,10,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.4,-0.9,8.5,1024.0,1024.9,-9.0
202401020500,113,360,2,-9,7000,-9,-9,10,6,6,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.0,-1.8,7.6,1023.4,1024.3,-9.0
202401020600,113,330,4,-9,8000,-9,-9,10,7,5,6,2500,7,6,5000,-9,-9,-9,-9,-9,-9,1.5,-1.4,8.1,1022.9,1023.8,-9.0
202401020700,113,330,5,-9,9000,-9,-9,10,7,5,6,2500,7,6,5000,-9,-9,-9,-9,-9,-9,1.8,-1.5,7.9,1023.4,1024.3,-9.0
202401020800,113,20,2,-9,9000,-9,-9,10,7,7,6,2500,-9,-9,-9,-9,-9,-9,-9,-9,-9,2.4,-1.7,7.5,1023.2,1024.1,-9.0
202401020900,113,310,3,-9,9000,-9,-9,10,6,6,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,3.1,-0.8,7.6,1023.5,1024.4,-9.0
202401021000,113,330,3,-9,10000,-9,-9,-9,6,6,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,3.2,-1.1,7.4,1023.8,1024.7,-9.0
202401021100,113,340,4,-9,10000,-9,-9,-9,6,6,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,3.8,-1.6,6.8,1023.3,1024.2,-9.0
202401021200,113,320,5,-9,10000,-9,-9,-9,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.3,-2.7,6.1,1022.8,1023.7,-9.0
202401021300,113,330,8,-9,10000,-9,-9,-9,6,6,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.8,-2.8,5.8,1022.4,1023.3,-9.0
202401021400,113,340,4,-9,10000,-9,-9,-9,7,7,6,3000,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.4,-4.2,5.4,1021.8,1022.7,-9.0
202401021500,113,250,4,-9,10000,-9,-9,-9,7,6,6,3500,7,0,20000,-9,-9,-9,-9,-9,-9,4.6,-3.2,5.7,1021.5,1022.4,-9.0
202401021600,113,300,3,-9,10000,-9,-9,-9,7,7,6,3500,-9,-9,-9,-9,-9,-9,-9,-9,-9,4.1,-3.0,6.0,1021.4,1022.3,-9.0
